<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.86747	0.86794	0.86682	0.86746	4141	0	4
2024.01.02	04:00:00	0.86746	0.86747	0.86581	0.86621	4646	0	4
2024.01.02	08:00:00	0.86622	0.86654	0.86454	0.86610	10511	0	4
2024.01.02	12:00:00	0.86610	0.86785	0.86546	0.86717	14153	0	4
2024.01.02	16:00:00	0.86721	0.86825	0.86646	0.86680	13405	0	4
2024.01.02	20:00:00	0.86681	0.86745	0.86669	0.86698	5220	0	4
2024.01.03	00:00:00	0.86679	0.86738	0.86658	0.86712	4059	0	4
2024.01.03	04:00:00	0.86711	0.86731	0.86685	0.86699	4490	0	4
2024.01.03	08:00:00	0.86699	0.86760	0.86567	0.86603	10958	0	4
2024.01.03	12:00:00	0.86602	0.86613	0.86414	0.86473	12312	0	4
2024.01.03	16:00:00	0.86473	0.86496	0.86239	0.86251	15151	0	4
2024.01.03	20:00:00	0.86252	0.86281	0.86168	0.86223	10294	0	4
2024.01.04	00:00:00	0.86177	0.86246	0.86146	0.86221	3664	0	4
2024.01.04	04:00:00	0.86221	0.86269	0.86193	0.86268	4105	0	4
2024.01.04	08:00:00	0.86268	0.86302	0.86162	0.86217	11377	0	4
2024.01.04	12:00:00	0.86217	0.86373	0.86100	0.86373	11443	0	4
2024.01.04	16:00:00	0.86373	0.86394	0.86258	0.86337	12302	0	4
2024.01.04	20:00:00	0.86337	0.86366	0.86285	0.86313	4161	0	4
2024.01.05	00:00:00	0.86289	0.86323	0.86254	0.86274	4592	0	4
2024.01.05	04:00:00	0.86275	0.86296	0.86236	0.86291	4544	0	4
2024.01.05	08:00:00	0.86292	0.86292	0.86071	0.86192	9005	0	4
2024.01.05	12:00:00	0.86192	0.86294	0.86155	0.86276	11371	0	4
2024.01.05	16:00:00	0.86278	0.86337	0.85997	0.86029	16873	0	4
2024.01.05	20:00:00	0.86029	0.86058	0.85992	0.86029	6860	0	4
2024.01.08	00:00:00	0.85997	0.86072	0.85989	0.86057	2801	0	4
2024.01.08	04:00:00	0.86057	0.86100	0.86021	0.86092	3016	0	4
2024.01.08	08:00:00	0.86091	0.86207	0.86065	0.86151	8409	0	4
2024.01.08	12:00:00	0.86155	0.86170	0.86061	0.86146	8797	0	4
2024.01.08	16:00:00	0.86146	0.86176	0.85954	0.85963	9515	0	4
2024.01.08	20:00:00	0.85963	0.85966	0.85883	0.85890	4488	0	4
