<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.63159	0.63237	0.63030	0.63041	5976	0	5
2024.01.02	04:00:00	0.63041	0.63161	0.62933	0.63157	8082	0	5
2024.01.02	08:00:00	0.63157	0.63166	0.63003	0.63104	13828	0	5
2024.01.02	12:00:00	0.63103	0.63132	0.62667	0.62691	14512	0	5
2024.01.02	16:00:00	0.62688	0.62825	0.62526	0.62584	20592	0	5
2024.01.02	20:00:00	0.62580	0.62601	0.62486	0.62506	7876	0	5
2024.01.03	00:00:00	0.62523	0.62579	0.62447	0.62554	6089	0	5
2024.01.03	04:00:00	0.62553	0.62743	0.62522	0.62698	6058	0	5
2024.01.03	08:00:00	0.62698	0.62757	0.62520	0.62545	10881	0	5
2024.01.03	12:00:00	0.62545	0.62580	0.62203	0.62227	12189	0	5
2024.01.03	16:00:00	0.62226	0.62531	0.62185	0.62339	22072	0	5
2024.01.03	20:00:00	0.62332	0.62523	0.62231	0.62460	14984	0	5
2024.01.04	00:00:00	0.62426	0.62516	0.62343	0.62414	7866	0	5
2024.01.04	04:00:00	0.62414	0.62687	0.62385	0.62614	8349	0	5
2024.01.04	08:00:00	0.62614	0.62850	0.62582	0.62612	14160	0	5
2024.01.04	12:00:00	0.62612	0.62647	0.62294	0.62344	15150	0	5
2024.01.04	16:00:00	0.62343	0.62399	0.62206	0.62253	19225	0	5
2024.01.04	20:00:00	0.62249	0.62356	0.62214	0.62351	7805	0	5
2024.01.05	00:00:00	0.62313	0.62434	0.62266	0.62383	6485	0	5
2024.01.05	04:00:00	0.62383	0.62433	0.62233	0.62302	7885	0	5
2024.01.05	08:00:00	0.62301	0.62348	0.62175	0.62182	12179	0	5
2024.01.05	12:00:00	0.62181	0.62215	0.61806	0.62161	15575	0	5
2024.01.05	16:00:00	0.62162	0.62772	0.62131	0.62460	30110	0	5
2024.01.05	20:00:00	0.62460	0.62575	0.62369	0.62425	10871	0	5
2024.01.08	00:00:00	0.62349	0.62606	0.62310	0.62531	5067	0	5
2024.01.08	04:00:00	0.62532	0.62532	0.62302	0.62364	5658	0	5
2024.01.08	08:00:00	0.62364	0.62484	0.62184	0.62328	11133	0	5
2024.01.08	12:00:00	0.62329	0.62336	0.62120	0.62170	11224	0	5
2024.01.08	16:00:00	0.62171	0.62529	0.62152	0.62442	15345	0	5
2024.01.08	20:00:00	0.62443	0.62554	0.62354	0.62496	6782	0	5
2024.01.09	00:00:00	0.62511	0.62593	0.62413	0.62584	6430	0	5
2024.01.09	04:00:00	0.62584	0.62666	0.62405	0.62411	6770	0	5
2024.01.09	08:00:00	0.62410	0.62576	0.62335	0.62476	10296	0	5
2024.01.09	12:00:00	0.62477	0.62518	0.62343	0.62468	10480	0	5
2024.01.09	16:00:00	0.62468	0.62493	0.62267	0.62346	14939	0	5
2024.01.09	20:00:00	0.62345	0.62429	0.62256	0.62402	8647	0	5
2024.01.10	00:00:00	0.62312	0.62414	0.62249	0.62403	6856	0	5
2024.01.10	04:00:00	0.62402	0.62483	0.62365	0.62395	7321	0	5
2024.01.10	08:00:00	0.62395	0.62540	0.62294	0.62461	10731	0	5
2024.01.10	12:00:00	0.62461	0.62504	0.62243	0.62267	10561	0	5
2024.01.10	16:00:00	0.62267	0.62309	0.62173	0.62273	12991	0	5
2024.01.10	20:00:00	0.62267	0.62304	0.62153	0.62274	8537	0	5
2024.01.11	00:00:00	0.62250	0.62418	0.62210	0.62401	5222	0	5
2024.01.11	04:00:00	0.62401	0.62537	0.62378	0.62505	6123	0	5
2024.01.11	08:00:00	0.62507	0.62585	0.62400	0.62464	10158	0	5
2024.01.11	12:00:00	0.62464	0.62606	0.62004	0.62076	16041	0	5
2024.01.11	16:00:00	0.62079	0.62372	0.61954	0.62127	31664	0	5
2024.01.11	20:00:00	0.62131	0.62367	0.62105	0.62331	11741	0	5
2024.01.12	00:00:00	0.62276	0.62536	0.62253	0.62522	7132	0	5
2024.01.12	04:00:00	0.62522	0.62582	0.62377	0.62393	7634	0	5
2024.01.12	08:00:00	0.62393	0.62524	0.62336	0.62427	10348	0	5
2024.01.12	12:00:00	0.62427	0.62671	0.62298	0.62556	14727	0	5
2024.01.12	16:00:00	0.62557	0.62776	0.62396	0.62429	22229	0	5
2024.01.12	20:00:00	0.62429	0.62485	0.62392	0.62396	7323	0	5
2024.01.15	00:00:00	0.62363	0.62386	0.62231	0.62334	7827	0	5
2024.01.15	04:00:00	0.62336	0.62418	0.62256	0.62259	5521	0	5
2024.01.15	08:00:00	0.62258	0.62275	0.61836	0.61867	10948	0	5
2024.01.15	12:00:00	0.61867	0.61981	0.61828	0.61936	8935	0	5
2024.01.15	16:00:00	0.61936	0.62033	0.61871	0.62019	6211	0	5
2024.01.15	20:00:00	0.62019	0.62027	0.61931	0.61991	1706	0	5
2024.01.16	00:00:00	0.61990	0.62021	0.61595	0.61774	8310	0	5
2024.01.16	04:00:00	0.61772	0.61776	0.61596	0.61651	11798	0	5
2024.01.16	08:00:00	0.61652	0.61793	0.61548	0.61596	14355	0	5
2024.01.16	12:00:00	0.61595	0.61695	0.61482	0.61526	14482	0	5
2024.01.16	16:00:00	0.61527	0.61613	0.61311	0.61327	24713	0	5
2024.01.16	20:00:00	0.61329	0.61391	0.61260	0.61382	7792	0	5
2024.01.17	00:00:00	0.61386	0.61492	0.61334	0.61473	6486	0	5
2024.01.17	04:00:00	0.61473	0.61513	0.61222	0.61235	9529	0	5
2024.01.17	08:00:00	0.61236	0.61253	0.61065	0.61178	15896	0	5
2024.01.17	12:00:00	0.61178	0.61262	0.61007	0.61041	15587	0	5
2024.01.17	16:00:00	0.61041	0.61054	0.60879	0.61045	20093	0	5
2024.01.17	20:00:00	0.61040	0.61146	0.60944	0.61145	11909	0	5
2024.01.18	00:00:00	0.61159	0.61339	0.61037	0.61314	8044	0	5
2024.01.18	04:00:00	0.61313	0.61355	0.61125	0.61167	9097	0	5
2024.01.18	08:00:00	0.61171	0.61259	0.61068	0.61208	12124	0	5
2024.01.18	12:00:00	0.61207	0.61274	0.60942	0.60960	12918	0	5
2024.01.18	16:00:00	0.60961	0.61156	0.60951	0.60995	20632	0	5
2024.01.18	20:00:00	0.60949	0.61180	0.60945	0.61162	8422	0	5
2024.01.19	00:00:00	0.61133	0.61261	0.61089	0.61136	6609	0	5
2024.01.19	04:00:00	0.61136	0.61140	0.60910	0.60929	6883	0	5
2024.01.19	08:00:00	0.60928	0.61194	0.60893	0.61194	11334	0	5
2024.01.19	12:00:00	0.61192	0.61238	0.61052	0.61078	10939	0	5
2024.01.19	16:00:00	0.61076	0.61114	0.60899	0.61087	20249	0	5
2024.01.19	20:00:00	0.61089	0.61175	0.61025	0.61155	6670	0	5
2024.01.22	00:00:00	0.61101	0.61385	0.61050	0.61267	7779	0	5
2024.01.22	04:00:00	0.61266	0.61312	0.61080	0.61094	8930	0	5
2024.01.22	08:00:00	0.61094	0.61122	0.60995	0.61078	11789	0	5
2024.01.22	12:00:00	0.61078	0.61238	0.61054	0.61157	10597	0	5
2024.01.22	16:00:00	0.61156	0.61177	0.60944	0.60991	13065	0	5
2024.01.22	20:00:00	0.60997	0.60997	0.60715	0.60759	6223	0	5
2024.01.23	00:00:00	0.60751	0.60863	0.60652	0.60857	7304	0	5
2024.01.23	04:00:00	0.60856	0.61065	0.60801	0.61039	12246	0	5
2024.01.23	08:00:00	0.61039	0.61168	0.60854	0.60894	12860	0	5
2024.01.23	12:00:00	0.60893	0.61001	0.60770	0.60934	9729	0	5
2024.01.23	16:00:00	0.60932	0.60933	0.60614	0.60687	15378	0	5
2024.01.23	20:00:00	0.60685	0.61074	0.60667	0.61005	7801	0	5
2024.01.24	00:00:00	0.60986	0.61065	0.60948	0.61024	6229	0	5
2024.01.24	04:00:00	0.61024	0.61045	0.60885	0.61026	7831	0	5
